Rides Dates
415753 2010-08-28
382325 2010-08-29
374881 2010-08-30
425081 2010-08-31

450430 2010-09-01
460210 2010-09-02
442044 2010-09-03
396123 2010-09-04
358956 2010-09-05
313522 2010-09-06
425314 2010-09-07
459918 2010-09-08
466722 2010-09-09
445620 2010-09-10
487246 2010-09-11
446776 2010-09-12
443251 2010-09-13
478690 2010-09-14
500102 2010-09-15
480089 2010-09-16
512409 2010-09-17
487462 2010-09-18
849414 2010-09-19
611543 2010-09-20
647329 2010-09-21
678683 2010-09-22
679260 2010-09-23
725850 2010-09-24
763954 2010-09-25
659536 2010-09-26
431238 2010-09-27
462463 2010-09-28
479392 2010-09-29
496663 2010-09-30

238654 2010-10-01
243227 2010-10-02
210638 2010-10-03
437478 2010-10-04
457320 2010-10-05
478150 2010-10-06
500079 2010-10-07
504352 2010-10-08
517193 2010-10-09
450096 2010-10-10
407946 2010-10-11
458975 2010-10-12
475721 2010-10-13
483217 2010-10-14
519133 2010-10-15
527770 2010-10-16
458957 2010-10-17
437508 2010-10-18
463863 2010-10-19
494298 2010-10-20
514747 2010-10-21
526895 2010-10-22
520336 2010-10-23
449067 2010-10-24
430755 2010-10-25
464447 2010-10-26
481165 2010-10-27
502133 2010-10-28
530378 2010-10-29
538906 2010-10-30
476203 2010-10-31

469959 2010-11-01
467600 2010-11-02
489993 2010-11-03
503474 2010-11-04
518384 2010-11-05
533472 2010-11-06
463361 2010-11-07
449663 2010-11-08
463095 2010-11-09
485536 2010-11-10
488502 2010-11-11
516791 2010-11-12
524168 2010-11-13
459664 2010-11-14
437409 2010-11-15
451557 2010-11-16
471097 2010-11-17
503964 2010-11-18
533366 2010-11-19
531685 2010-11-20
455695 2010-11-21
426384 2010-11-22
459034 2010-11-23
460056 2010-11-24
321817 2010-11-25
351076 2010-11-26
419877 2010-11-27
389040 2010-11-28
419082 2010-11-29
447509 2010-11-30

487760 2010-12-01
507371 2010-12-02
535199 2010-12-03
544471 2010-12-04
476614 2010-12-05
468980 2010-12-06
496863 2010-12-07
509366 2010-12-08
530098 2010-12-09
540916 2010-12-10
531754 2010-12-11
462970 2010-12-12
469412 2010-12-13
508713 2010-12-14
522687 2010-12-15
531076 2010-12-16
549697 2010-12-17
536073 2010-12-18
475509 2010-12-19
464187 2010-12-20
487812 2010-12-21
485123 2010-12-22
459871 2010-12-23
361296 2010-12-24
226051 2010-12-25
193529 2010-12-26
072025 2010-12-27
247546 2010-12-28
332715 2010-12-29
372902 2010-12-30
430727 2010-12-31

183030 2011-01-01
158706 2011-01-02
374927 2011-01-03
407012 2011-01-04
439070 2011-01-05
476390 2011-01-06
486988 2011-01-07
500272 2011-01-08
451117 2011-01-09
449946 2011-01-10
471811 2011-01-11
361127 2011-01-12
488565 2011-01-13
512868 2011-01-14
485503 2011-01-15
446699 2011-01-16
386391 2011-01-17
442217 2011-01-18
477235 2011-01-19
501964 2011-01-20
504589 2011-01-21
541375 2011-01-22
469484 2011-01-23
443065 2011-01-24
451381 2011-01-25
410620 2011-01-26
315655 2011-01-27
450996 2011-01-28
508017 2011-01-29
443204 2011-01-30
424772 2011-01-31

450558 2011-02-01
444931 2011-02-02
497558 2011-02-03
523507 2011-02-04
543523 2011-02-05
451016 2011-02-06
442577 2011-02-07
495221 2011-02-08
522735 2011-02-09
541334 2011-02-10
568193 2011-02-11
592896 2011-02-12
494049 2011-02-13
499431 2011-02-14
534436 2011-02-15
518097 2011-02-16
520077 2011-02-17
536865 2011-02-18
573781 2011-02-19
481920 2011-02-20
416751 2011-02-21
484786 2011-02-22
506407 2011-02-23
526787 2011-02-24
565914 2011-02-25
552910 2011-02-26
461969 2011-02-27
454571 2011-02-28

498985 2011-03-01
531705 2011-03-02
555658 2011-03-03
576062 2011-03-04
562352 2011-03-05
502110 2011-03-06
479212 2011-03-07
511207 2011-03-08
537897 2011-03-09
541403 2011-03-10
557379 2011-03-11
565030 2011-03-12
464156 2011-03-13
459835 2011-03-14
507174 2011-03-15
520115 2011-03-16
514167 2011-03-17
574200 2011-03-18
568994 2011-03-19
485327 2011-03-20
456000 2011-03-21
483775 2011-03-22
522281 2011-03-23
529221 2011-03-24
557701 2011-03-25
558896 2011-03-26
466137 2011-03-27
443179 2011-03-28
490832 2011-03-29
504851 2011-03-30
540509 2011-03-31

288633 2011-04-01
278780 2011-04-02
240633 2011-04-03
458737 2011-04-04
525459 2011-04-05
515766 2011-04-06
541474 2011-04-07
564808 2011-04-08
548386 2011-04-09
474893 2011-04-10
467738 2011-04-11
524355 2011-04-12
531832 2011-04-13
532820 2011-04-14
571983 2011-04-15
576321 2011-04-16
458907 2011-04-17
456631 2011-04-18
496251 2011-04-19
517462 2011-04-20
534263 2011-04-21
542235 2011-04-22
513729 2011-04-23
440867 2011-04-24
454325 2011-04-25
503392 2011-04-26
513133 2011-04-27
540910 2011-04-28
562436 2011-04-29
541814 2011-04-30

473899 2011-05-01
479236 2011-05-02
503275 2011-05-03
539514 2011-05-04
541380 2011-05-05
561132 2011-05-06
528998 2011-05-07
448546 2011-05-08
460656 2011-05-09
509305 2011-05-10
520892 2011-05-11
539772 2011-05-12
562697 2011-05-13
557750 2011-05-14
481463 2011-05-15
493934 2011-05-16
532811 2011-05-17
519183 2011-05-18
539842 2011-05-19
554476 2011-05-20
539651 2011-05-21
484602 2011-05-22
474504 2011-05-23
510123 2011-05-24
518432 2011-05-25
520040 2011-05-26
508026 2011-05-27
443284 2011-05-28
393415 2011-05-29
351394 2011-05-30
462636 2011-05-31

514961 2011-06-01
525586 2011-06-02
537879 2011-06-03
521288 2011-06-04
447307 2011-06-05
477033 2011-06-06
521681 2011-06-07
543169 2011-06-08
545633 2011-06-09
542323 2011-06-10
536703 2011-06-11
434022 2011-06-12
466033 2011-06-13
498734 2011-06-14
513931 2011-06-15
536628 2011-06-16
529061 2011-06-17
517492 2011-06-18
442999 2011-06-19
457009 2011-06-20
496175 2011-06-21
519225 2011-06-22
523643 2011-06-23
538492 2011-06-24
512753 2011-06-25
439888 2011-06-26
456836 2011-06-27
490144 2011-06-28
504271 2011-06-29
506962 2011-06-30

476534 2011-07-01
381582 2011-07-02
331272 2011-07-03
310280 2011-07-04
424741 2011-07-05
470577 2011-07-06
505784 2011-07-07
519585 2011-07-08
479097 2011-07-09
433359 2011-07-10
451373 2011-07-11
502464 2011-07-12
507784 2011-07-13
518011 2011-07-14
529274 2011-07-15
499358 2011-07-16
449374 2011-07-17
469451 2011-07-18
494873 2011-07-19
508813 2011-07-20
549537 2011-07-21
554099 2011-07-22
515998 2011-07-23
451457 2011-07-24
450257 2011-07-25
483496 2011-07-26
497998 2011-07-27
518406 2011-07-28
525334 2011-07-29
487922 2011-07-30
444471 2011-07-31

453134 2011-08-01
489837 2011-08-02
514042 2011-08-03
501436 2011-08-04
513817 2011-08-05
482363 2011-08-06
418949 2011-08-07
431148 2011-08-08
466284 2011-08-09
487146 2011-08-10
500648 2011-08-11
504845 2011-08-12
469428 2011-08-13
222035 2011-08-14
428099 2011-08-15
471369 2011-08-16
488697 2011-08-17
504280 2011-08-18
496141 2011-08-19
450004 2011-08-20
228315 2011-08-21
403936 2011-08-22
443809 2011-08-23
467486 2011-08-24
488317 2011-08-25
487789 2011-08-26
208398 2011-08-27
029028 2011-08-28
334767 2011-08-29
414473 2011-08-30
462421 2011-08-31

480158 2011-09-01
485219 2011-09-02
456817 2011-09-03
415971 2011-09-04
357241 2011-09-05
465645 2011-09-06
499146 2011-09-07
522590 2011-09-08
502873 2011-09-09
527145 2011-09-10
456827 2011-09-11
463483 2011-09-12
508386 2011-09-13
526982 2011-09-14
525471 2011-09-15
539618 2011-09-16
551476 2011-09-17
476211 2011-09-18
446868 2011-09-19
453379 2011-09-20
463695 2011-09-21
501147 2011-09-22
509316 2011-09-23
541956 2011-09-24
469903 2011-09-25
458222 2011-09-26
492595 2011-09-27
499160 2011-09-28
494529 2011-09-29
534719 2011-09-30

537727 2011-10-01
456650 2011-10-02
462818 2011-10-03
487802 2011-10-04
510158 2011-10-05
530851 2011-10-06
539301 2011-10-07
532627 2011-10-08
472750 2011-10-09
418498 2011-10-10
481431 2011-10-11
516334 2011-10-12
535782 2011-10-13
547146 2011-10-14
559275 2011-10-15
486136 2011-10-16
460319 2011-10-17
494946 2011-10-18
496719 2011-10-19
520448 2011-10-20
552267 2011-10-21
551842 2011-10-22
480998 2011-10-23
467990 2011-10-24
495859 2011-10-25
512056 2011-10-26
523077 2011-10-27
546441 2011-10-28
587917 2011-10-29
487256 2011-10-30
454335 2011-10-31

517114 2011-11-01
502914 2011-11-02
529937 2011-11-03
556386 2011-11-04
564543 2011-11-05
442365 2011-11-06
459814 2011-11-07
494495 2011-11-08
513958 2011-11-09
528337 2011-11-10
533314 2011-11-11
532126 2011-11-12
462245 2011-11-13
460380 2011-11-14
491805 2011-11-15
498245 2011-11-16
530615 2011-11-17
546783 2011-11-18
555001 2011-11-19
464152 2011-11-20
457008 2011-11-21
468358 2011-11-22
472771 2011-11-23
328093 2011-11-24
367964 2011-11-25
434662 2011-11-26
409997 2011-11-27
431356 2011-11-28
475305 2011-11-29
495819 2011-11-30

523721 2011-12-01
553089 2011-12-02
560424 2011-12-03
476963 2011-12-04
467200 2011-12-05
485597 2011-12-06
505162 2011-12-07
527344 2011-12-08
553727 2011-12-09
568840 2011-12-10
488680 2011-12-11
477049 2011-12-12
511172 2011-12-13
509526 2011-12-14
540584 2011-12-15
570671 2011-12-16
565656 2011-12-17
508621 2011-12-18
474652 2011-12-19
497404 2011-12-20
503978 2011-12-21
495837 2011-12-22
474183 2011-12-23
373366 2011-12-24
231895 2011-12-25
288572 2011-12-26
377571 2011-12-27
415381 2011-12-28
457167 2011-12-29
465202 2011-12-30
476749 2011-12-31

212782 2012-01-01
341383 2012-01-02
438459 2012-01-03
473988 2012-01-04
488687 2012-01-05
511891 2012-01-06
524583 2012-01-07
463563 2012-01-08
439369 2012-01-09
471469 2012-01-10
493716 2012-01-11
514149 2012-01-12
557470 2012-01-13
545057 2012-01-14
518708 2012-01-15
418762 2012-01-16
488425 2012-01-17
518452 2012-01-18
528313 2012-01-19
566619 2012-01-20
522087 2012-01-21
468849 2012-01-22
444752 2012-01-23
471702 2012-01-24
508498 2012-01-25
534698 2012-01-26
549222 2012-01-27
554706 2012-01-28
467885 2012-01-29
453891 2012-01-30
476997 2012-01-31

497863 2012-02-01
536346 2012-02-02
562768 2012-02-03
547815 2012-02-04
477174 2012-02-05
466666 2012-02-06
485974 2012-02-07
522019 2012-02-08
541616 2012-02-09
577540 2012-02-10
589609 2012-02-11
514642 2012-02-12
491284 2012-02-13
531883 2012-02-14
541026 2012-02-15
542061 2012-02-16
544931 2012-02-17
538830 2012-02-18
476508 2012-02-19
420026 2012-02-20
473859 2012-02-21
498686 2012-02-22
527637 2012-02-23
560829 2012-02-24
574939 2012-02-25
469136 2012-02-26
444577 2012-02-27
495127 2012-02-28
532150 2012-02-29

526559 2012-03-01
578422 2012-03-02
557669 2012-03-03
485995 2012-03-04
482835 2012-03-05
515123 2012-03-06
526420 2012-03-07
547572 2012-03-08
583989 2012-03-09
584033 2012-03-10
462052 2012-03-11
451512 2012-03-12
492437 2012-03-13
514429 2012-03-14
551806 2012-03-15
563313 2012-03-16
559115 2012-03-17
459165 2012-03-18
436371 2012-03-19
476880 2012-03-20
507290 2012-03-21
530119 2012-03-22
560953 2012-03-23
553807 2012-03-24
470596 2012-03-25
475909 2012-03-26
498887 2012-03-27
511830 2012-03-28
536892 2012-03-29
